id,empleado,sexo,edad,años_edc,pareja,estudiante_act,estrato,pc,internet,reside_padre,reside_madre,afro,gitano,indigena,palenquero,sin_rec_etnico
20569,1,1,70,20,0,0,6,1,1,0,0,0,0,0,0,1
6330,1,1,36,11,0,0,3,1,1,0,1,0,0,0,0,1
19739,1,0,53,5,1,0,2,0,0,0,0,0,0,1,0,0
3107,0,1,19,11,0,0,3,1,1,0,1,0,0,0,0,1
19384,1,1,30,16,0,0,4,1,1,1,1,0,0,0,0,1
10101,1,1,27,11,1,0,2,0,0,0,0,0,0,0,0,1
10625,1,1,27,11,0,0,1,0,0,1,0,0,0,0,0,1
14671,1,1,29,18,0,0,3,1,1,0,0,0,0,0,0,1
8694,1,0,55,16,1,0,3,1,1,0,0,0,0,0,0,1
21743,0,1,27,11,0,0,2,1,1,0,0,0,0,0,0,1
16630,1,0,30,16,0,0,3,0,1,0,1,0,0,0,0,1
20298,0,0,37,9,1,0,3,0,0,0,1,0,0,0,0,1
18442,1,1,27,11,0,1,2,1,1,0,1,0,0,0,0,1
6816,1,1,47,11,1,0,2,0,1,0,0,0,0,0,0,1
16930,1,0,27,5,1,0,2,0,1,0,0,0,0,0,0,1
5843,0,0,39,11,1,0,3,1,1,0,0,0,0,0,0,1
2214,1,1,55,16,1,0,3,1,1,0,0,0,0,0,0,1
19965,1,1,46,20,1,0,4,1,1,0,0,0,0,0,0,1
20013,1,0,27,16,1,0,3,1,1,0,0,0,0,0,0,1
12925,1,0,25,13,1,0,2,1,1,1,1,0,0,0,0,1
14511,1,1,27,8,1,0,2,0,1,0,0,0,0,0,0,1
12409,1,1,44,11,0,0,2,0,0,0,0,0,0,0,0,1
2499,1,0,28,11,0,0,3,0,1,0,1,0,0,0,0,1
6434,0,0,26,13,1,1,2,0,1,0,0,0,0,0,0,1
6800,0,1,29,11,1,0,1,0,1,0,0,0,0,0,0,1
14057,0,1,23,11,0,0,3,1,1,0,1,0,0,0,0,1
6405,1,0,40,18,1,0,3,1,1,0,0,0,0,0,0,1
6558,1,0,25,14,0,0,3,1,1,1,1,0,0,0,0,1
11585,1,0,60,5,1,0,2,0,0,0,0,0,0,0,0,1
17045,1,1,32,11,1,0,2,1,1,0,0,0,0,0,0,1
4065,1,0,48,11,0,1,3,0,0,0,0,0,0,0,0,1
22079,1,1,28,16,1,0,2,0,1,0,0,0,0,0,0,1
18387,1,0,41,11,1,0,1,1,1,0,1,0,0,0,0,1
16914,1,1,30,20,1,1,3,0,1,0,0,0,0,0,0,1
14265,1,0,46,16,1,0,1,1,1,0,0,0,0,0,0,1
13509,1,0,33,19,1,0,6,1,1,0,0,0,0,0,0,1
444,1,1,35,15,1,1,3,1,1,0,0,0,0,0,0,1
11337,1,0,62,16,0,0,2,0,1,0,0,0,0,0,0,1
1222,1,1,63,8,1,0,3,1,1,0,0,0,0,0,0,1
11973,1,1,33,11,1,0,2,0,1,0,0,0,0,0,0,1
20439,1,1,27,13,0,0,2,1,1,1,0,0,0,0,0,1
20885,1,0,20,15,0,1,2,1,1,1,1,0,0,0,0,1
8907,1,1,19,12,0,1,2,1,1,0,0,0,0,0,0,1
3845,1,1,36,11,1,0,2,0,0,0,0,0,0,0,0,1
2560,1,1,31,9,1,0,3,0,0,0,0,0,0,0,0,1
21481,1,0,37,14,0,0,3,1,1,0,0,0,0,0,0,1
19328,1,0,62,19,1,0,5,1,1,0,0,0,0,0,0,1
12978,1,1,50,3,1,0,3,1,1,0,0,0,0,0,0,1
17172,1,1,24,8,0,0,3,0,0,1,1,0,0,0,0,1
409,0,1,34,7,0,0,2,0,1,0,1,0,0,0,0,1
14494,1,1,30,9,1,0,1,0,1,0,0,0,0,0,0,1
10526,1,1,22,11,0,1,3,1,1,1,1,0,0,0,0,1
17569,1,0,67,5,1,0,1,0,0,0,0,0,0,0,0,1
12007,1,1,63,11,0,0,3,0,1,0,0,0,0,0,0,1
9792,1,0,59,5,0,0,3,1,1,0,0,0,0,0,0,1
11599,1,1,44,11,1,0,2,1,1,0,0,0,0,0,0,1
18802,1,0,26,14,1,1,3,1,1,0,0,0,0,0,0,1
1965,1,0,39,11,1,0,3,1,1,0,0,0,0,0,0,1
19829,1,0,25,16,0,0,2,0,1,0,1,0,0,0,0,1
14180,1,1,26,11,1,0,2,0,1,0,0,0,0,0,0,1
11623,1,0,51,2,1,0,3,1,1,0,0,0,0,0,0,1
5067,1,1,47,5,1,0,2,0,1,0,0,0,0,0,0,1
18885,1,1,24,11,0,0,2,0,1,0,0,0,0,0,0,1
9491,1,1,22,11,0,0,3,1,1,1,1,0,0,0,0,1
8751,1,0,57,8,0,0,2,1,1,0,1,0,0,0,0,1
7178,1,0,61,19,0,0,4,1,1,0,0,0,0,0,0,1
4213,1,0,25,14,1,0,3,0,1,0,0,0,0,0,0,1
15035,1,0,55,16,1,0,3,1,1,0,0,0,0,0,0,1
7199,0,0,21,14,0,0,2,1,1,1,1,0,0,0,0,1
7506,1,1,45,16,1,0,3,1,1,0,0,0,0,0,0,1
2534,1,1,67,20,1,0,6,1,1,0,0,0,0,0,0,1
18663,1,0,55,13,0,0,4,1,1,0,0,0,0,0,0,1
5709,1,0,33,17,0,0,3,1,1,0,0,0,0,0,0,1
15586,1,0,25,13,0,0,3,1,1,0,1,0,0,0,0,1
10456,1,1,49,14,1,0,2,0,0,0,0,0,0,0,0,1
8605,1,1,21,11,0,0,3,0,0,0,0,0,0,0,0,1
4430,1,1,39,11,1,0,2,0,1,0,0,0,0,0,0,1
21015,1,1,52,5,1,0,2,1,1,0,0,0,0,0,0,1
22151,1,0,31,7,1,0,2,0,1,0,1,0,0,0,0,1
21371,1,0,34,16,1,0,3,1,1,0,1,0,0,0,0,1
1640,1,1,55,16,0,0,4,1,1,0,0,0,0,0,0,1
17690,1,1,58,5,1,0,2,1,1,0,0,0,0,0,0,1
17814,1,1,58,11,0,0,1,0,1,0,0,0,0,0,0,1
17465,1,0,35,16,0,0,3,1,0,0,0,0,0,0,0,1
14955,1,0,31,16,0,1,3,1,1,0,0,0,0,0,0,1
15002,0,0,19,8,1,1,1,0,1,0,1,0,0,0,0,1
