empleado,id,sexo,edad,años_edc,pareja,estudiante_act,estrato,pc,internet,reside_padre,reside_madre,afro,gitano,indigena,palenquero,sin_rec_etnico
0,12937,1,40,10,1,0,2,1,1,0,0,0,0,0,0,1
0,27786,0,52,8,0,0,2,1,1,0,0,0,0,0,0,1
1,6326,1,40,16,1,0,3,1,1,0,0,0,0,0,0,1
0,36084,1,20,11,0,0,2,1,0,0,0,0,0,0,0,1
1,19146,0,43,16,0,0,2,0,1,0,0,0,0,0,0,1
1,9039,0,36,18,0,0,2,1,1,1,1,0,0,0,0,1
0,1810,1,52,11,1,0,3,1,1,0,0,0,0,0,0,1
0,28131,0,25,8,0,0,2,0,0,1,1,0,0,0,0,1
1,16854,1,30,11,1,0,2,0,1,0,1,0,0,0,0,1
0,26065,0,20,12,0,1,2,1,1,0,1,0,0,0,0,1
1,5689,0,21,13,1,0,3,1,1,0,0,0,0,0,0,1
0,26955,1,27,16,0,0,3,0,1,1,1,0,0,0,0,1
0,15550,1,19,11,0,0,2,0,1,1,1,0,0,0,0,1
0,28525,0,53,11,0,0,3,1,1,0,0,0,0,0,0,1
1,15000,1,48,19,1,0,4,1,1,0,0,0,0,0,0,1
1,18649,1,56,17,0,0,4,0,1,0,0,0,0,0,0,1
1,13710,1,63,11,0,0,3,0,0,0,0,0,0,0,0,1
1,9215,0,33,11,1,0,2,0,1,0,0,0,0,0,0,1
1,17673,1,66,5,0,0,4,1,1,0,0,0,0,0,0,1
1,14658,1,54,5,1,0,2,1,1,0,0,0,0,0,0,1
1,11517,1,23,11,1,0,1,0,0,0,0,0,0,0,0,1
0,35998,0,32,5,1,0,1,0,1,0,0,0,0,0,0,1
1,7489,1,56,14,1,0,2,1,1,0,0,0,0,0,0,1
0,26622,1,37,11,1,0,1,0,0,0,0,0,0,0,0,1
0,14731,0,34,14,0,0,4,1,1,1,1,0,0,0,0,1
1,15581,1,19,8,0,0,3,0,1,0,0,0,0,0,0,1
1,10209,0,55,5,0,0,2,0,0,0,0,0,0,0,0,1
0,22984,0,17,10,0,1,1,0,0,0,0,0,0,0,0,0
0,10676,0,30,9,1,0,2,0,1,0,0,0,0,0,0,1
1,13106,1,52,14,1,0,3,1,1,0,0,0,0,0,0,1
0,35723,1,24,15,0,1,2,1,1,0,1,0,0,0,0,1
0,7371,0,31,16,0,0,2,1,1,1,1,0,0,0,0,1
1,9357,1,51,5,1,0,2,0,1,0,0,0,0,0,0,1
1,14934,1,62,11,0,0,3,1,1,0,0,0,0,0,0,1
1,4964,1,22,13,0,1,2,1,1,1,1,0,0,0,0,1
1,14883,1,49,5,0,0,3,0,0,0,0,0,0,0,0,1
0,24705,0,51,11,1,0,3,0,1,0,0,0,0,0,0,1
0,34990,0,26,13,1,1,1,0,1,0,0,0,0,0,0,1
1,15848,0,54,5,1,0,2,1,1,0,0,0,0,0,0,1
1,275,0,43,8,0,0,1,0,0,0,0,0,0,0,0,1
0,8169,0,36,18,0,0,2,1,1,1,1,0,0,0,0,1
1,12928,0,35,16,1,1,3,1,1,0,0,0,0,0,0,1
0,26371,0,43,11,1,0,2,1,1,0,0,0,0,0,0,1
1,21200,1,37,16,1,0,2,1,1,0,0,0,0,0,0,1
0,28167,0,46,11,0,0,4,1,1,0,0,0,0,0,0,1
1,8493,0,67,4,0,0,5,1,1,0,0,0,0,0,0,1
0,32306,1,38,13,0,0,2,1,1,0,1,0,0,0,0,1
1,5731,0,26,13,1,0,3,0,1,0,0,0,0,0,0,1
0,26409,0,56,8,1,0,2,0,0,0,0,0,0,0,0,1
1,14973,1,38,20,0,0,4,0,1,0,0,0,0,0,0,1
0,2344,0,19,13,0,0,2,1,1,0,1,0,0,0,0,1
1,8125,0,37,18,1,0,6,1,1,0,0,0,0,0,0,1
1,9854,1,25,16,0,0,4,1,1,1,1,0,0,0,0,1
0,28793,0,40,16,1,0,2,1,1,0,0,0,0,0,0,1
1,611,0,40,5,0,0,1,0,0,0,0,0,0,0,0,1
1,7605,0,57,7,1,0,2,0,1,0,0,0,0,0,0,1
0,16792,1,39,16,1,0,2,1,1,0,0,0,0,0,0,1
0,24143,0,47,6,1,0,1,0,0,0,0,0,0,0,0,1
1,18158,1,18,7,0,0,3,0,1,0,0,0,0,0,0,1
0,25538,0,18,11,0,0,2,0,0,0,1,0,0,0,0,1
0,25339,1,24,16,0,0,2,1,1,0,1,0,0,0,0,1
0,31095,1,23,13,0,0,3,1,1,0,1,0,0,0,0,1
1,9597,0,53,9,1,0,2,0,1,0,0,0,0,0,0,1
0,35421,0,44,13,1,0,1,0,1,0,0,0,0,0,0,1
1,19273,0,33,11,1,0,2,1,1,1,1,0,0,0,0,1
0,32567,0,31,16,1,0,3,1,1,0,0,0,0,0,0,1
0,26720,0,21,11,0,0,1,1,1,0,0,0,0,0,0,1
0,30329,0,43,14,1,0,2,0,1,0,0,0,0,0,0,1
